Kind,Language,Component,Found Version,Status,Reason,File,Line,Quick Fix,Required Version
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,23,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,23,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,24,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,24,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,25,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,25,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,26,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,26,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,27,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,27,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,28,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,28,Use static imports or proper module loading,
Pattern,node,,,affected,console.log() should be removed in production,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,32,Use proper logging library or remove debug statements,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,36,Use arrow functions for better scope handling,
Pattern,node,,,affected,Post-increment can be confusing,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,40,Use pre-increment or explicit addition,
Pattern,node,,,affected,Compound assignment can be confusing,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,40,Use explicit addition,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,49,Use arrow functions for better scope handling,
Pattern,node,,,affected,Check for potential logical operator misuse,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,55,Use explicit boolean checks,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,61,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,64,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,69,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,78,Use arrow functions for better scope handling,
Pattern,node,,,affected,JSON.parse() with untrusted data is dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,82,Validate and sanitize input before parsing,
Pattern,node,,,affected,JSON.parse() with untrusted data is dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,82,Validate and sanitize input before parsing,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,85,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,97,Use arrow functions for better scope handling,
Pattern,node,,,affected,"new Buffer() is deprecated, use Buffer.from() or Buffer.alloc()",C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,99,Use Buffer.from() for strings or Buffer.alloc() for size,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,103,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,111,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,120,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,128,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,135,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,142,Use arrow functions for better scope handling,
Pattern,node,,,affected,Check for potential logical operator misuse,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,144,Use explicit boolean checks,
Pattern,node,,,affected,setTimeout with string is dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,144,Use function references instead of strings,
Pattern,node,,,affected,setTimeout with string is dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,144,Use function references instead of strings,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,147,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,152,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,157,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,164,Use arrow functions for better scope handling,
Pattern,node,,,affected,typeof undefined check is verbose,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,165,Use === undefined or optional chaining,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,177,Use arrow functions for better scope handling,
Pattern,node,,,affected,typeof undefined check is verbose,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,178,Use === undefined or optional chaining,
Pattern,node,,,affected,Direct this assignment is discouraged,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,193,Use class properties or bind methods properly,
Pattern,node,,,affected,Direct this assignment is discouraged,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,194,Use class properties or bind methods properly,
Pattern,node,,,affected,Post-increment can be confusing,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,197,Use pre-increment or explicit addition,
Pattern,node,,,affected,console.log() should be removed in production,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,201,Use proper logging library or remove debug statements,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,205,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,210,Use arrow functions for better scope handling,
Pattern,node,,,affected,== can cause type coercion issues,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,212,Use === for strict equality,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,246,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,246,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,23,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,24,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,25,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,26,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,27,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,28,Use static imports or proper module loading,
Pattern,node,,,affected,console methods should be removed in production,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,32,Use proper logging library or remove debug statements,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,36,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,49,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,61,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,64,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,69,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,78,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,85,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,97,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,103,Use arrow functions for better scope handling,
Pattern,node,,,affected,== can cause type coercion issues,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,106,Use === for strict equality,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,111,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,120,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,128,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,135,Use arrow functions for better scope handling,
Pattern,node,,,affected,== can cause type coercion issues,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,138,Use === for strict equality,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,142,Use arrow functions for better scope handling,
Pattern,node,,,affected,setTimeout with string is dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,144,Use function references instead of strings,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,147,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,152,Use arrow functions for better scope handling,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,157,Use arrow functions for better scope handling,
Pattern,node,,,affected,!= can cause type coercion issues,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,159,Use !== for strict inequality,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,164,Use arrow functions for better scope handling,
Pattern,node,,,affected,== can cause type coercion issues,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,165,Use === for strict equality,
Pattern,node,,,affected,typeof undefined check is verbose,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,165,Use === undefined or optional chaining,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,177,Use arrow functions for better scope handling,
Pattern,node,,,affected,== can cause type coercion issues,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,178,Use === for strict equality,
Pattern,node,,,affected,typeof undefined check is verbose,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,178,Use === undefined or optional chaining,
Pattern,node,,,affected,Direct this assignment is discouraged,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,193,Use class properties or bind methods properly,
Pattern,node,,,affected,Direct this assignment is discouraged,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,194,Use class properties or bind methods properly,
Pattern,node,,,affected,console methods should be removed in production,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,201,Use proper logging library or remove debug statements,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,205,Use arrow functions for better scope handling,
Pattern,node,,,affected,== can cause type coercion issues,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,207,Use === for strict equality,
Pattern,node,,,affected,Function declarations are less preferred than arrow functions,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,210,Use arrow functions for better scope handling,
Pattern,node,,,affected,== can cause type coercion issues,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,212,Use === for strict equality,
Pattern,node,,,affected,== can cause type coercion issues,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,212,Use === for strict equality,
Pattern,node,,,affected,!= can cause type coercion issues,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,245,Use !== for strict inequality,
Pattern,node,,,affected,console.log should be removed in production,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,32,Use proper logging library or remove debug statements,
Pattern,node,,,affected,Trailing whitespace detected,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,160,Remove trailing whitespace,
Pattern,node,,,affected,console.log should be removed in production,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,201,Use proper logging library or remove debug statements,